lagt,msd
60.000000000000014,3215235403.4563475
120.0,6237320758.074112
180.0,9259328528.161144
240.0,12375650981.970676
299.99999999999994,15616851649.857117
359.99999999999994,18941347214.225136
420.0,22358911142.866695
479.99999999999994,25797655120.269638
540.0,29217335996.81406
600.0,32485355532.572258
660.0,35840802459.005
719.9999999999999,39468944556.05036
779.9999999999999,43009732949.40833
839.9999999999999,46558215917.09451
900.0000000000001,50487595376.9787
960.0000000000002,53512429233.428314
1020.0000000000001,56414533945.83807
1080.0,60661636993.70558
1140.0,64693027585.279106
1199.9999999999998,67652272082.55729
1260.0,72613115261.43573
1319.9999999999998,75980932663.34756
1380.0000000000002,78353089062.16113
1440.0,82734357496.84305
1500.0000000000002,84428799011.22871
1560.0,85932814987.76772
1620.0000000000002,90289753080.3114
1680.0,92297814320.40382
1740.0,92591630933.73488
1800.0,95391408717.70158
1860.0000000000002,95099362419.32687
1920.0,100376749066.23387
1980.0000000000002,100432102243.55699
2040.0000000000002,99651166328.2222
2100.0,103842995970.66339
2159.9999999999995,106499628343.97812
2219.9999999999995,109434987377.79962
2280.0,116712556805.38838
2340.0,122880199289.34808
2400.0,127532976076.64839
2460.0,126998847853.43883
2520.0,113132479806.36797
2580.000000000001,113302298465.04733
2640.0000000000005,113350492301.40546
2700.0000000000005,116599981753.50105
2760.0,110302884667.26584
2820.0,114825486112.32948
2880.0,115251815650.23346
2940.0,96250974469.89905
3000.0,106152054138.20538
3060.0,112333082451.63826
3120.0,116308055308.63406
3179.9999999999995,124053238638.6164
3240.0,139024289447.4598
3300.0,142585639690.8119
3359.9999999999995,140176761825.91495
3419.9999999999995,146745715384.70206
3480.0,150894161808.17072
3540.0,159839547469.1979
3600.0,161398757919.4466
3659.9999999999995,178621323797.0942
3719.9999999999995,177613619892.71173
3780.0000000000005,181909228025.34186
3839.9999999999995,184176821069.9642
3900.0,219773282469.07938
3960.000000000001,291009202715.239
4020.0000000000005,349300414344.882
4080.0,357970860672.9317
4140.0,383964088060.3005
4200.0,402170826250.05554
4260.0,417328657253.5451
4319.999999999999,414984702898.08905
4380.0,260017254605.125
