frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,-8.021739142230503,-37.78876130413654,1549830699.6874511,1803079419.913684,3352910119.6011353,145820.13158669454,60.0
2,55.397518212990164,-188.39992267428542,2963910611.988743,3442051640.6573086,6402738518.73266,90668.98461966778,120.0
3,26.4561035378612,-903.311386720611,4388089770.200421,5105265767.559851,9454538898.77465,60021.407426147925,180.0
4,-168.23250671389826,-2163.276154329365,5833048785.794636,6737831305.877605,12570089321.080832,43305.9464712001,240.0
5,-209.18197967704822,-3349.0446859844183,7323880370.983576,8375259492.815552,15694541404.553728,31546.57465633859,299.99999999999994
6,-273.13239197730036,-4524.876713120721,8863651945.67817,10142716974.863209,18975474831.27025,23797.663182651933,360.0
7,-621.3878832041221,-5702.889426321739,10423584688.385292,11936170648.50147,22323745665.483624,18368.399392479227,420.00000000000006
8,-852.390119883105,-6559.537296373721,11981589228.89903,13658063571.143068,25590821179.425426,14415.668958537215,480.0
9,-1261.40588117609,-7371.533235962926,13550067792.650375,15515809694.834402,28995799496.0953,11424.948254926454,540.0
10,-1609.5809135478569,-8508.050084832552,15282218063.454023,17363449969.546085,32558160797.528843,9203.322035987345,600.0
11,-1785.0823886317187,-9249.62257527925,16860506707.028341,19120016964.404972,35937570400.03884,7446.725303119688,659.9999999999999
12,-904.1623543368953,-11372.08574835265,18362979209.796333,20855718539.163822,39181924473.9963,6097.686111681497,719.9999999999999
13,-1708.0911637572144,-12314.083745297803,19867794105.775135,22669197144.283627,42501971773.17891,5037.686988911281,779.9999999999999
14,-1191.0746608238007,-13898.371261390723,21443119362.74173,24655455746.365635,46008860074.83728,4153.627221485322,839.9999999999999
15,-2260.6733627371896,-15553.708981197111,23247872925.13179,26033085141.6021,49223431656.53926,3400.446679380505,900.0000000000001
16,-3199.7585369151284,-17771.510710245126,25116289321.842167,28335608544.360535,53378306451.05878,2826.4012826601124,960.0000000000001
17,-2364.705944299484,-17469.777740122623,26456569875.895954,30087144168.894054,56392608448.73231,2379.2222891808788,1019.9999999999999
18,-1932.788295153686,-21959.839193827906,27589457592.91597,31790404005.09728,59267753615.13469,1986.818972019662,1080.0
19,-748.7430481066091,-25023.454228586477,29041716620.592457,33834892567.229168,62876609187.821625,1670.6967601757008,1140.0
20,-1018.0411935327583,-27221.477508571254,30916473347.575603,35780523542.49713,66640185138.036896,1422.4306342666846,1200.0000000000002
