frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,-8.573636385860832,-55.397180974601376,1491926270.5446086,1722268560.460049,3214194831.0046577,128920.2771348725,60.0
2,-239.53932320984552,-231.93521807727907,2874645097.3259706,3363618694.054115,6236038542.114415,80117.80677651602,120.00000000000001
3,-294.11054439512174,-1203.6637542627875,4262523009.6419144,5004670078.726673,9240086366.77173,53013.01801033196,180.0
4,-427.5433817285194,-2750.065538564951,5671259345.341282,6674498229.155686,12345757574.49697,38248.267486619996,240.0
5,-582.2396613392787,-4411.145130486161,7142092485.165736,8434071175.919089,15560560191.351707,27823.02608189526,300.0
6,-807.9587434069658,-5943.33325275095,8700152956.73102,10190483459.166618,18870151695.80942,20904.876629020215,360.0
7,-686.1444843055341,-7556.761200368655,10270372882.25228,12015069742.79408,22261965042.976196,16078.753816001328,420.0
8,-620.6140717658194,-9505.184146888378,11814386820.664427,13902059749.19873,25684260779.41277,12599.790572546935,479.99999999999994
9,-720.8158464134739,-11369.565991790862,13352602962.696257,15769070798.575554,29102533653.640343,10037.741569527907,539.9999999999999
10,-1459.2689753107054,-12948.83615746633,14908563938.663195,17496963191.618584,32348929081.73287,8086.315426756366,600.0
11,-1643.739685509447,-14930.417122810835,16472549129.144999,19249444521.149426,35689489561.44065,6592.659727469143,660.0
12,-1082.2554099219574,-15521.608434087626,18070565463.563698,21254337517.642696,39293043756.53893,5370.467515913215,719.9999999999999
13,-1888.7877281963445,-17195.45529180481,19925355251.58264,23012908038.61159,42869474018.66236,4401.472469138316,779.9999999999999
14,-2098.002944977573,-18079.469456359002,21285612214.867764,25250045606.277008,46465388802.1623,3635.0482416869927,839.9999999999999
15,-3005.501108830443,-19312.61335578971,22783029474.657234,27607833917.112053,50390863391.76928,3041.7190220800026,900.0000000000001
16,-2909.307808708898,-20166.751462165037,24318812328.4788,29134057165.183807,53397506604.49259,2529.896822214128,960.0000000000002
17,-2398.6846692640083,-19334.323355309778,25341464527.141468,31076762322.45631,56314070123.10621,2096.2294986640873,1020.0000000000001
18,-2774.5703893386217,-21342.758175320723,27868199079.130737,32675541543.874565,60543740623.00529,1749.3675836734049,1080.0
19,-3417.2267461203905,-22247.39665589326,29665878537.13849,34971902626.20356,64583326419.31226,1481.8105439560622,1140.0
20,-3269.883064956341,-22602.79601851744,30918706839.95719,36749462053.11361,67601434998.69893,1249.2050830162975,1199.9999999999998
21,-1900.4606123630144,-22723.2925215612,33280998823.97975,39506500850.43864,72618619164.73296,1051.4942334384511,1260.0
22,-4866.833729714876,-27624.94424714291,34946078131.24176,41323656752.338486,76063600464.97597,893.1910889649025,1319.9999999999998
23,-5136.1639880756,-26060.02904120137,35626705209.99356,42785265459.30899,78411970669.30255,755.3518074949825,1380.0000000000002
24,-4661.6375610094965,-26857.396512432715,37958614159.07751,44835624438.99887,82794238598.07637,644.2340266891873,1440.0
25,-2698.6999393460997,-28121.111256138767,38754941355.90038,45955495495.14788,84710436851.04825,548.2154872536698,1500.0000000000002
26,-2140.033336741799,-30013.12356935213,40234750248.377884,45665689008.88115,85900439257.25903,458.72836888662135,1560.0
27,355.72522933516285,-35162.71409672843,42244899456.08195,48224237557.88231,90197457923.83223,387.6744724731367,1620.0000000000002
28,10061.530870779037,-28883.210151049207,41608847361.49145,50807638490.6191,92416485852.11055,329.3950884542204,1680.0
29,5323.269976029924,-26940.615527180827,41906924039.85583,50846506284.93248,92753430324.78831,273.3238446941811,1740.0
30,7340.973070989461,-36709.518579429714,44498868735.236244,50975350366.60456,95474219101.8408,230.20470434687604,1800.0
31,8539.517357683235,-22873.06403550202,44707413079.78834,50508318494.17915,95215731573.9675,191.55179163129546,1860.0000000000002
32,-348.09692525335083,-22419.93883292891,45500560558.237625,55279694402.08826,100780254960.32588,161.73588264485616,1920.0
33,-2686.7464573211655,-32533.676127353563,43513914021.673134,57495972410.11859,101009886431.7917,137.51131048651783,1980.0000000000002
34,-9685.255315845883,-27645.27922981381,42847207032.089134,57159220788.47909,100006427820.56822,111.95920767763026,2040.0000000000002
35,-8887.291829259133,-24000.55027362113,45274086899.32774,58911201295.71061,104185288195.03836,102.48338617184754,2100.0
36,2156.2710865384947,-28704.50789655956,44284870085.551094,62903692556.844376,107188562642.3955,93.27545833864092,2159.9999999999995
37,-479.7684596548008,-42864.19306056915,47034188467.72868,63241575989.3948,110275764457.12349,77.00226010924243,2219.9999999999995
38,-4689.511517197496,-40657.721377088514,51174455729.88324,67050653780.926636,118225109510.80986,65.5090214318191,2280.0
39,1195.954379050208,-46614.00710515061,52991210843.87014,71546263716.43471,124537474560.30486,60.15272293610523,2340.0
40,7621.242212789296,-50385.52280595073,53459288045.46148,75841474213.30916,129300762258.77063,56.04689576182836,2400.0
41,11803.046619859428,-36197.35851982705,55289576325.19096,73414507312.04904,128704083637.23999,49.01959530760437,2460.0
42,13885.177684290691,-31295.380108682428,57916952428.855545,57467702738.77005,115384655167.6256,38.455384319583445,2520.0
43,23260.190881984978,-37845.228842521676,55731271665.04134,59877497264.41146,115608768929.4528,36.71758004953118,2580.000000000001
44,39444.56023765979,-51759.48503369024,50798248912.5935,64779366667.05377,115577615579.64728,34.086676580173155,2640.0000000000005
