frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,-565.2128595958012,21667.60345961382,2133809108.602481,2594663540.027387,4728472648.629868,92454.10109843069,60.0
2,-1003.4908595812628,41550.711593123655,4812162184.581462,6349215069.609068,11151495893.232721,55693.23453632032,120.00000000000001
3,-1306.2670595340771,59964.75210847669,7563595054.178288,10905524710.465284,18316929387.93955,35783.7248295289,180.0
4,-1478.094647903685,77378.38067885891,10161972877.19491,15997842192.605513,26158033551.47641,25423.167235187255,240.0
5,-1698.652439951056,93282.37101435337,12911449735.072104,21463053146.377193,34340134627.341324,16620.839494679672,300.0
6,-2283.423115605065,108063.90069266236,15620796169.552668,27099211093.99715,42521236567.33151,11149.5763124794,360.00000000000006
7,-3475.53099213401,121419.46091563789,18468224310.737007,32898841878.843163,51179874628.18034,7619.299648440834,420.0
8,-5151.545082115306,136743.9400608874,21794687786.62283,39371326830.46432,60923405599.707184,5177.628077638126,479.99999999999994
9,-2587.586545775661,152862.53457198892,24707312333.551533,46568492719.93047,70977867604.7054,3612.109843414135,540.0
10,-906.3105886469749,167749.85982726567,28130787368.138042,54530468703.18964,82141840638.20444,2514.065445490809,599.9999999999999
11,-2657.931704193772,183578.94530700403,30923582957.15622,62372592147.249146,92578971964.58931,1730.4154907039865,660.0
12,-597.9935335478771,197060.15895227858,32527434626.001472,70502604538.94795,102389532704.77657,1218.984762597452,720.0
13,1305.0594336532495,204637.1289704252,35118523810.274826,75063515557.63474,109107092642.36897,868.3069261405935,779.9999999999999
14,6632.612490986329,217291.3630360308,37517184912.74835,82982560636.23785,119689663225.9678,617.571875789977,839.9999999999999
15,13194.809376341964,236053.0025998726,43312418162.370476,93933401008.15857,136604483566.92844,437.6933177858697,900.0
16,12212.604205025942,240073.03087838643,47167627637.547386,99496753733.20377,145727228774.1329,315.77451802970694,959.9999999999999
17,14347.24422235625,244196.67240808066,55053262063.33547,102303704983.72127,155851158749.95575,211.4174753362299,1020.0000000000001
18,25642.31349045786,251373.0884738223,57642338876.80652,104340736777.38316,160903188483.16174,150.51294870116539,1080.0
19,27313.8466929851,263270.9333966876,51954085858.52597,112633750933.16191,161567876483.58353,108.72503065169276,1140.0
20,-12609.638302584024,271291.98068952083,51337926862.08238,123619281232.91641,172527246871.45715,71.92029984621495,1199.9999999999998
21,-25160.47716032212,298401.0031773398,54570321047.07254,139870546325.51724,194440867372.5898,54.98002269021163,1260.0
22,-43062.54736307735,313179.2062513584,60311806846.291985,148305425612.46704,208617232458.759,43.67538228713987,1320.0
23,-64293.84522708043,329480.00895779376,66467707815.734825,149778911327.4997,210239768611.478,34.95687237855795,1380.0
24,-66161.41290166714,363812.0605444052,76077214763.08197,179638186418.11703,255715401181.19904,28.695258239702046,1440.0
25,-96468.91934172186,387379.26287194033,82673566706.28246,202315795243.31445,284989361949.59686,23.49909404559738,1499.9999999999998
26,-77782.23319137353,419045.54773716006,84997120705.21024,250191615544.955,335188736250.1652,16.001257989190616,1560.0
27,-48099.7195719036,446855.94459244347,93281561235.75943,300496840270.9723,393778401506.7316,10.269443487027832,1620.0
28,-4997.35010010661,518020.1989299905,98127175165.58592,331053219848.43384,429180395014.0197,5.510142079275102,1679.9999999999998
29,-91876.15500714601,767159.3438411013,189095530928.9427,618191828092.2546,807287359021.1974,2.666226142469487,1739.9999999999998
30,-448565.7835133884,724808.8965917148,207599571993.12332,554004213386.3558,761603785379.4791,1.6139732448907746,1800.0
31,-432102.29092248715,547605.0925001744,186712389820.46173,299871337332.1246,486583727152.5863,0.65625,1860.0
