frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,-313.3241868218352,22836.306049201972,1831326341.097163,2420631509.5975556,4251575101.7658596,164593.0746120079,60.0
2,-641.9373493815893,45066.01292169446,3715640172.598734,5744210803.150811,9452187040.311455,100678.8268405361,120.0
3,-865.2030646654582,66237.31880429716,5652087960.136124,9989438557.467384,15573942282.042706,65604.82922108618,180.0
4,-937.0359836236106,86044.42390913969,7490126204.405586,14967728712.882547,22455833326.24328,46884.229646520755,239.99999999999997
5,-1097.239857880871,105771.97212480297,9364235668.288666,20732419946.718792,30066488569.619877,32598.863235715653,300.0
6,-1660.3450439629178,125444.18816297727,11302776520.355532,27281386076.97852,38488082507.86155,23433.46482592754,359.99999999999994
7,-1803.9883910448282,144664.251701309,13128732608.114807,34422818807.86968,47424386294.012825,17229.98143246736,420.0
8,-1278.2269888070039,164244.78443177778,15076738684.5424,42482290271.74671,57414043996.70148,12763.269747210865,479.99999999999994
9,-1438.2232587951696,183876.83696072965,17087599557.95265,51372849086.50274,68228935220.83034,9494.908133059336,539.9999999999999
10,-2700.92711031294,202150.26671241198,19093817936.5464,60577924069.42009,79414182495.17136,7168.919568035338,600.0
11,-3093.045532799186,221064.29193477283,21064061028.237907,70782279578.28769,91514015538.74983,5491.689320222661,660.0000000000001
12,-3328.288624049548,239118.03624634282,23127304230.714405,81419925743.68294,104308264877.313,4226.466197540609,719.9999999999999
13,-2928.6149381882474,260726.77355208475,25122685875.762314,93894466975.37897,118714640116.95177,3253.817152407039,780.0
14,-3936.5342491665097,280158.40777420916,27099683268.68684,106648020330.44377,133318632139.37175,2524.797211356386,839.9999999999999
15,-7372.552228440937,301653.81190422154,29503030189.17822,120370540046.26242,149267845644.4198,1966.5792417039752,900.0
16,-8810.475206694224,317645.43531101075,32035440383.127495,131553128362.95804,163228505865.49985,1523.6781238577212,960.0
17,-11838.097901852452,336904.5880333439,34115748778.825153,146301816222.8726,179762691807.49918,1208.6871991395167,1019.9999999999998
18,-15567.504758370098,358416.43211449956,37207874515.77991,164443264079.47006,201651138595.24997,922.7975211718023,1080.0
19,-14327.486436284045,375992.5286528884,37069140358.83815,180763896397.06747,217169922488.76434,710.3008710707946,1140.0
20,-15522.010114793653,390014.0629414395,39668461123.34553,193534790690.4354,233203251813.78088,566.5724413123152,1200.0
21,-18687.177507212426,405121.6697584377,42636759561.43875,207711146025.32846,250347905586.76715,450.45548400235106,1259.9999999999998
22,-26456.386297005014,419179.4409300982,46920797310.79649,219976364145.39978,266123546495.45367,358.69088545093484,1320.0
23,-40345.375932821225,437750.729144857,51255815494.6277,239989740022.52325,291245555517.15094,268.8747129148674,1380.0000000000005
24,-49582.989799154966,469063.4187076363,55021266524.64334,266655271978.79422,321676538503.4375,200.9663605605564,1440.0000000000002
25,-64641.04130636286,486151.34241412056,57822195525.98045,282991474418.6527,340813669944.6331,159.5390089075964,1500.0
26,-65076.023445472776,506860.61549036414,61615208163.2123,304986370441.58685,366601578604.79913,132.44120485215643,1559.9999999999998
27,-99485.22837713371,521585.6934749399,69553353124.39894,327534725148.0208,397088078272.4198,97.36383567976678,1619.9999999999998
28,-119883.97699063983,535136.633517738,78757036129.04388,340696877084.84546,419453913213.88934,77.13159554039868,1679.9999999999998
29,-130466.57482913736,554796.7230031327,88790294462.11812,371216686742.6829,460006981204.801,59.317467293760714,1739.9999999999998
30,-155641.7691558536,588812.7270780511,100756551099.9397,414769111300.2024,515525662400.1421,49.043651877941876,1800.0000000000002
31,-128051.08353347407,618883.7837018085,94143797563.14268,451007277558.38763,545151075121.53033,37.89261220754732,1860.0
32,-156719.99400243585,627621.8803331107,103667224637.93369,466825600664.6501,570492825302.5837,28.8382127318014,1920.0
33,-168293.84537736222,633159.6258531073,108445092764.07817,472380166348.8458,580825259112.9241,24.636215197156837,1980.0
34,-127849.8714998538,692766.4315427293,97589716148.79253,547106261462.5486,644695977611.3412,17.170408046066637,2039.9999999999998
35,-108326.70913247026,760441.7627070923,114353860322.04913,649649438633.1587,764003298955.2079,11.69116214893301,2100.0
36,-71261.87838167518,778957.3423156032,97843653767.24997,664876066971.163,762719720738.413,7.829481709064986,2160.0
37,-40295.49887561187,700002.6461966052,119484389914.44637,530618811766.8833,650103201681.3296,5.857572990948425,2220.0
38,-44901.5462721602,715036.3315985019,114062606742.91982,557013820695.3198,671076427438.2395,5.721771823137439,2280.0
39,6961.782970297446,780942.4123873697,59801190177.25613,679592618843.4227,739393809020.6788,3.768943853081458,2340.0
40,10629.246435710054,794064.6223448287,62796803696.308945,703265062840.6266,766061866536.9355,3.6837300325601765,2400.0
41,-110738.15429675592,810440.2626047906,102864235100.04588,784360514801.3442,887224749901.3901,1.9132703849861485,2459.9999999999995
42,-99017.17408413446,827878.8052922834,102014731601.0984,822782289560.5712,924797021161.6696,1.8722064260620974,2520.0
43,215173.65712177195,461776.26141573116,47037991892.067276,213520481058.53842,260558472950.6057,0.9248609213351553,2580.0
44,208649.4672375638,465270.3287807933,45012799926.33028,216610366491.42236,261623166417.75266,0.9084185736593406,2640.0
45,196254.53075958323,472292.36376115587,41746908261.34734,223237718025.89722,264984626287.24457,0.8919411066408117,2700.0
46,166824.8181794919,494494.76032476686,27830519960.620533,244525067988.64862,272355587949.26917,0.8723404255319149,2760.0
