frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,710.6156353672066,22145.320807057127,1539772683.3873408,2278715063.361439,3818487746.74878,128920.2771348725,60.0
2,1204.1985375719348,44147.73789040917,2973432790.382415,5467508504.207193,8437930328.871343,80117.80677651602,120.00000000000001
3,1875.7144348324707,65365.43913444728,4418423276.306358,9543342230.954767,13920927069.236034,53013.01801033196,180.0
4,2448.7733004776105,85782.65118102702,5890318895.149585,14441195933.632845,20331514828.78243,38248.267486619996,240.0
5,3010.0014649182376,105931.87221458602,7439047915.953978,20205926702.25032,27617281180.06936,27823.02608189526,300.0
6,3474.641090651277,125842.72485391522,9066533028.599659,26727698930.336845,35755417235.794914,20904.876629020215,360.0
7,4327.846676261273,145592.93348609394,10709739230.922205,34065940352.728554,44728508669.89062,16078.753816001328,420.0
8,5130.905803669261,164680.50770311579,12349828017.684721,42011439456.34567,54293230843.90019,12599.790572546935,479.99999999999994
9,5676.625505579181,183687.23152291297,13951061507.419125,50682964546.18646,64591545589.554565,10037.741569527907,539.9999999999999
10,5600.774349750598,203275.47857884914,15601018625.659359,60250706879.46543,75719246263.99416,8086.315426756366,600.0
11,5834.520811268524,221930.69162512894,17248466940.705456,70203121863.55432,87372015020.08847,6592.659727469143,660.0
12,6981.0806959193305,242339.71447684904,18941046317.86124,81995523579.55574,100854795738.70993,5370.467515913215,719.9999999999999
13,6860.556705144044,261697.815168494,20843219382.00301,93797124160.36063,114456683908.36435,4401.472469138316,779.9999999999999
14,7658.769446444223,280952.3677297805,22271094266.781776,106687183562.10074,128763550342.54219,3635.0482416869927,839.9999999999999
15,7732.022790677906,300832.20236230775,23782010864.762394,121128623501.56778,144910634366.3302,3041.7190220800026,900.0000000000001
16,8148.983943764156,320216.12508992036,25292271935.13768,135089158369.16862,160215317999.4857,2529.896822214128,960.0000000000002
17,9028.235136348349,340872.6986837166,26359525362.08146,151271543124.29462,177303134206.09354,2096.2294986640873,1020.0000000000001
18,8731.406143692648,358657.57102912635,29096045170.288456,166161009067.33597,195257054237.6244,1749.3675836734049,1080.0
19,8799.182597014462,377930.1770788613,30883628428.491196,183049199522.05786,213752598103.91843,1481.8105439560622,1140.0
20,8998.472013849318,396465.2296009061,32083145447.415455,200353111696.2024,232207030065.5669,1249.2050830162975,1199.9999999999998
21,10815.46267102279,415725.05493696086,34690392383.3939,219839549976.60498,253939385649.18683,1051.4942334384511,1260.0
22,7885.191392266301,427985.89335428306,36317099107.768715,231035541714.32776,266630066117.1719,893.1910889649025,1319.9999999999998
23,7759.963010552443,447734.12676988303,37409208206.19796,251017290528.0588,288426498734.2568,755.3518074949825,1380.0000000000002
24,8860.323651640629,466361.5474359726,39734330123.3911,270539759116.33716,310274089239.7283,644.2340266891873,1440.0
25,11215.389877792742,483917.8449081587,40449686895.89606,288950297952.8655,329399984848.76154,548.2154872536698,1500.0000000000002
26,11562.313883268744,499876.8344661164,41873872390.63089,305575505850.6984,347449378241.3293,458.72836888662135,1560.0
27,14605.708786364306,515124.81071826967,44673158514.97881,324621908551.57996,368186072871.16364,387.6744724731367,1620.0000000000002
28,24742.83417398258,539086.6511064974,43766044955.36504,354088000972.09937,397854045927.4644,329.3950884542204,1680.0
29,19997.495872051848,560282.0531812581,44235632283.011,381502746605.197,425738378888.208,273.3238446941811,1740.0
30,20530.89734361644,564309.1246026031,46649775760.575584,385233777712.48895,431883553473.0646,230.20470434687604,1800.0
31,23173.636384240002,596931.2406230122,46576707028.8682,424190269883.4362,470766976912.3044,191.55179163129546,1860.0000000000002
32,13783.156365425455,613823.3872782576,46347802863.760155,451364701514.33765,497712504378.0979,161.73588264485616,1920.0
33,10049.143096655478,616644.8307067243,42711554199.23973,457376257208.8582,500087811408.098,137.51131048651783,1980.0000000000002
34,-1981.7551693102168,629825.0441232354,39969122134.88339,477290560671.5089,517259682806.3922,111.95920767763026,2040.0000000000002
35,-3398.729822369265,652388.5712714761,41482780378.537506,510774720295.1937,552257500673.7312,102.48338617184754,2100.0
36,7701.676501622599,664155.2369503856,39818702992.480316,530966288178.2654,570784991170.7457,93.27545833864092,2159.9999999999995
37,4709.785591011424,665704.4746842693,38604179611.94222,535939350555.0626,574543530167.0049,77.00226010924243,2219.9999999999995
