frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,-189.79611476822737,22542.56186585219,1920658031.5986624,2514323849.04305,4434574328.548288,78780.55896970264,60.00000000000001
2,-402.2597347083446,43538.73178762813,4409008410.905771,6396862061.718931,10805870472.6247,48018.94447930738,120.0
3,-705.8702499252593,63300.22365834926,7163780486.639259,11232045782.51499,18323135538.629192,31186.54841794767,180.0
4,-1051.5703642994886,82564.62371270807,10008740861.356482,16843992703.058016,26852733564.414497,22255.270486260943,240.0
5,-1582.3042743110395,100112.34499553056,12915533689.045494,22940620170.863323,35852014382.43711,15326.681814961477,299.99999999999994
6,-2012.1123617925846,116626.30937836818,15857279408.276987,29525407181.665833,45356034006.42208,10848.75777353583,360.00000000000006
7,-2340.7619989836694,133129.80918365333,19025130256.380157,36749853868.14246,55668441652.460495,7761.889056392185,419.99999999999994
8,-2601.795091818381,149522.31944292109,21883889552.423817,44298093105.88331,66050342712.6914,5654.583841802545,480.0
9,-1396.5378019659088,164860.01522440705,25193404682.530052,52241130187.98182,77163007971.06157,4207.409246066105,540.0
10,-3394.403408031081,180935.07941609042,28038942324.38228,61291701004.82009,89113557926.21524,3177.0863010157427,600.0
11,-5473.125272164939,197840.93956648692,31231991950.797676,70847426523.95462,101916612384.68094,2358.040559038817,660.0
12,-4401.006157517096,214330.04183717922,34233870892.82004,80787890782.9003,114864305465.34975,1787.637966623906,719.9999999999999
13,-4715.023117842608,227419.51453782473,37356640928.947075,89062133685.52321,126306402370.36852,1352.3201966849974,779.9999999999999
14,-3389.334846231999,243882.5013118451,40505144954.84044,99613400399.45297,140118545354.2934,1038.6517849177912,840.0
15,4474.734284860906,262129.8638570275,43071003956.30906,112453621887.73146,155294559829.47833,789.1428086009861,900.0000000000001
16,4534.45133132501,274120.73653879284,46249945928.99932,122519164635.9082,168457728442.09406,620.3031942712539,960.0000000000001
17,11241.170046478137,288351.41676529666,51795510973.53577,136554084911.21419,187444068981.45792,471.76963271508896,1019.9999999999999
18,14345.120957724102,305646.50910873024,55509663708.80855,150694670704.65997,205596062040.5674,377.0366559478071,1080.0000000000002
19,10239.215233031897,313834.82206493017,58995061015.25951,155195541536.30252,214190602551.562,297.34536082192227,1140.0
20,9335.463659023917,345192.9874872119,57900746973.85192,176286392349.29764,233010319527.5558,220.25751006623653,1199.9999999999998
21,-1460.717666511861,360644.5390136575,59919793438.75397,190459715722.609,248784735217.66,172.89018659428697,1259.9999999999998
22,4606.724162578139,362568.2364812771,64749695637.03883,195046776242.89938,259796471879.9382,135.06257362877406,1320.0
23,-12289.664540106745,350776.09252460045,68594200617.5489,178964854348.59952,247559054966.14838,107.15564694101869,1380.0
24,-18519.92015431402,378077.6896899572,72488551084.3515,203407019623.18552,275895570707.53705,84.09686493016706,1440.0
25,-24815.81984262612,394526.5505687587,75775672235.22221,219491927216.9423,295267599452.16455,68.0045161666804,1499.9999999999998
26,-8726.234088774536,400250.46420690214,86702892507.16907,220850233249.25638,307553125756.4254,57.416719139477344,1559.9999999999998
27,17847.308037219587,427996.7618046551,95522702032.49329,247238696720.29672,342761398752.79004,43.37176509984886,1620.0
28,52593.66383030154,418219.91146532167,109469970513.21187,236318243188.1978,345788213701.40967,32.6017483819473,1680.0000000000002
29,54006.38480387846,435257.9152023755,108798854478.15141,255990884430.5276,364789738908.679,28.82860067751266,1740.0
30,26301.580709558944,440774.3032641422,99856735452.99913,262741814264.67578,362598549717.6749,26.066060512491106,1800.0
31,23221.121884610602,462774.05733326654,104667103342.99661,291534738398.4246,396201841741.4212,21.74859965860365,1860.0000000000005
32,106584.28834445243,467534.953048114,77384520781.39436,303197449534.05554,380581970315.44995,17.532213748137586,1920.0
33,137939.55764827365,466625.98005391454,97753828424.98558,294579511147.7337,392333339572.71924,14.162458267796573,1980.0000000000005
34,175718.54431950144,526804.1532561602,108326787902.20749,350816462650.65247,459143250552.86,9.354138591156921,2040.0000000000002
35,93604.26873184922,473685.15049023763,82269935131.18817,266927980490.45193,349197915621.6401,7.333721451632554,2100.0
36,40785.052746272675,449044.59990235564,60245453673.35546,247780382165.0494,308025835838.40485,5.205123183236374,2160.0
37,29937.089814895233,501248.4403240691,73350131951.61938,287810163273.02155,361160295224.6409,4.238389379329202,2220.0
38,26481.660815998424,587770.1625405211,93291959260.38538,362276322885.4825,455568282145.8678,3.194283442088174,2280.0
39,29870.779752463193,568880.5375099136,85876396150.34218,338493289697.9847,424369685848.3269,3.1231707158717583,2340.0000000000005
40,-46019.063883510054,554130.700500033,96003647278.0064,328233803611.05865,424237450889.06506,2.0813795189835123,2400.0
41,-61051.28472249413,570332.7517034331,79297827638.17386,352594209570.9691,431892037209.143,2.041444127153482,2460.0000000000005
42,-47091.73039298743,596543.844241304,68424370877.93996,383517405130.046,451941776007.98596,2.001636099749307,2520.0000000000005
43,-2551.5572618058177,619384.1608122735,51512501654.73576,410664269807.65454,462176771462.3903,1.9545454545454546,2580.0
