frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,8.570922090528557,-132.86475440989585,2038809381.8497124,2035069429.0365355,4073878810.8862476,92454.10109843069,60.0
2,115.89465921725905,-2027.8065860513086,4596758489.561292,4432860137.159624,9021624548.66675,55693.23453632032,120.00000000000001
3,340.148711881407,-5501.546076053411,7229018518.975974,7044581504.390448,14155981826.497221,35783.7248295289,180.0
4,709.361726030239,-9685.722610383938,9705163031.601389,9685449577.66735,19389292082.66773,25423.167235187255,240.0
5,837.3661134059029,-15290.304742638158,12343675299.669947,12475429634.932978,24794290341.412537,16620.839494679672,300.0
6,697.066898783311,-22000.104030780407,14930728641.057152,15285685776.963512,30075821330.24243,11149.5763124794,360.00000000000006
7,-271.2447193375015,-29952.447324807752,17652998795.506004,18303456461.08873,35825422953.191536,7619.299648440834,420.0
8,-1591.3405939728466,-35946.20815771895,20736348461.034695,21041064023.95554,41611706462.53461,5177.628077638126,479.99999999999994
9,884.6227710927874,-41306.20908518744,23416409554.07076,23874883319.62008,47093612228.23811,3612.109843414135,540.0
10,2759.400061507638,-47910.048642793445,26433336017.028828,27550802292.647667,53644920205.39667,2514.065445490809,599.9999999999999
11,1269.646633630378,-54038.513003381806,29097488273.44983,30394258403.03127,59034411019.77528,1730.4154907039865,660.0
12,3636.8598109927607,-62342.32638340976,30442366705.517433,34103097357.158142,64144204516.99287,1218.984762597452,720.0
13,5789.828713416845,-75339.07753441816,33264957327.12821,37314681892.859375,69891057373.93893,868.3069261405935,779.9999999999999
14,10924.454719481335,-82799.09085390226,35676837640.03738,40247602206.81595,75414023444.52155,617.571875789977,839.9999999999999
15,17553.016183087115,-85439.87482958002,40643100473.92458,42968033654.25992,83220427893.94064,437.6933177858697,900.0
16,17723.401560986254,-100415.14920969594,44725455682.668205,49912012125.86485,94032755554.16544,315.77451802970694,959.9999999999999
17,20851.147545622247,-116575.10187563337,51275559345.28258,55481181858.940056,105735145594.61285,211.4174753362299,1020.0000000000001
18,36440.17470534508,-127844.3096131929,54696059501.6881,57906743909.97865,111852118055.58897,150.51294870116539,1080.0
19,39177.38168631492,-137683.97792718458,49625164567.805885,63077592040.28678,110634816119.87079,108.72503065169276,1140.0
20,2528.022177583902,-149929.13742657565,47510610037.873886,73317686679.84427,119150125929.97208,71.92029984621495,1199.9999999999998
21,-11227.073171753978,-138570.92224958874,48592773376.06736,70466564096.03716,119059337472.1045,54.98002269021163,1260.0
22,-25746.720932020347,-147699.72510962255,53009528135.67872,69665655978.35117,122675184114.02988,43.67538228713987,1320.0
23,-46018.34794358964,-156854.2916803202,62286253188.82426,64990372195.87385,123741163568.45648,34.95687237855795,1380.0
24,-46853.829131763574,-145536.71486055476,71971385077.15765,68050156025.10987,140021541102.26752,28.695258239702046,1440.0
25,-67134.4142257056,-142932.3230020084,77420256486.52992,70840688292.8798,148260944779.40973,23.49909404559738,1499.9999999999998
26,-53744.535929562786,-126921.1634947704,74294434026.39757,82505981019.16858,156800415045.56613,16.001257989190616,1560.0
27,-28137.25274527134,-115847.49019524292,76185212536.99416,115656659866.50111,191841872403.49527,10.269443487027832,1620.0
28,40305.492014463656,-61073.40977693403,74390759289.98529,62997701094.605675,137388460384.59096,5.510142079275102,1679.9999999999998
29,-10353.909651625976,154155.35011010212,129292476394.05084,58008558793.89584,187301035187.9467,2.666226142469487,1739.9999999999998
30,-302896.05037486355,117407.83398107885,106452890114.33769,61738263278.47755,168191153392.81525,1.6139732448907746,1800.0
31,-233622.22332764044,-146228.80993618816,54579343232.54991,21382864855.35384,75962208087.90375,0.65625,1860.0
