frame,<x>,<y>,<x^2>,<y^2>,msd,N,lagt
1,-31.996501803780887,-156.04495633499636,1867535104.8843193,2014658804.7577739,3881845042.468329,78298.30605178858,60.0
2,-11.520728743210174,-1610.5964422135191,4277841219.5703692,4421802236.601625,8695734558.141724,47639.94021202671,119.99999999999999
3,5.059249500200654,-4117.048093616655,6886942802.546887,7022386276.84525,13823083239.485771,30893.67206847045,179.99999999999997
4,53.990888373206786,-7118.7097658177545,9563101675.073534,9691503811.865358,19254605486.938892,22031.388056435957,239.99999999999997
5,45.07882289089222,-12067.968699223184,12297386191.30628,12456041023.19316,24739194563.157154,14982.115688137892,300.00000000000006
6,-27.032723076139064,-17128.409215237578,14994419725.235415,15319893491.593575,30265476449.783714,10560.329964504735,360.0
7,821.243280213392,-21614.396861617304,18003736764.910942,18270360623.433434,36192552021.416664,7602.748203131123,420.00000000000006
8,1223.3847013490333,-24600.36839232953,20931275277.355957,21102634794.16299,41961898967.62746,5508.432459514663,480.0
9,1056.9504531851403,-28595.393193188906,23885425976.8647,24023266241.304817,47816795749.720345,4041.694624068644,539.9999999999999
10,39.44276847175187,-32694.660292775843,26770653814.20228,27478399727.96992,54158411848.70157,2987.1184752972567,599.9999999999999
11,-768.2587063181682,-33860.881661463056,29492389440.771248,30041252881.640568,59435832395.26656,2213.3761232745264,659.9999999999999
12,-1600.3013952602041,-38172.0160150928,31530163301.513577,33596349686.797348,64941099428.20185,1662.1878165375215,720.0
13,-795.6049523858101,-44320.582109757685,34144769489.734158,37011841861.87337,70958219312.5231,1245.4882404841771,780.0
14,5022.500333582698,-46685.074682696955,36134730059.10721,39514684848.750755,75193695540.94315,941.706463482666,840.0
15,7063.707396674902,-51450.87334116585,37090215018.39381,42675711124.31002,79642640321.7723,720.4831023344403,899.9999999999998
16,9395.981023758986,-52619.64453440811,41158418775.30126,44350791102.1179,85336463998.87892,544.2736343590495,960.0000000000001
17,8221.158536745696,-51352.904306723154,42195751976.62102,46620608921.819885,88580773734.25404,410.9160383795043,1020.0
18,5027.805316815798,-55057.86170063086,45646357143.626884,50412710450.53535,96059067594.16223,301.24048311650927,1079.9999999999998
19,11387.193857357424,-53991.282423180186,48521326972.15593,52073207430.28348,100594534402.4394,234.28934823107517,1140.0
20,6931.220716634772,-51755.73588049092,49917629653.84973,52853883077.59743,102163397271.49777,178.42629983361428,1200.0
21,18564.783547051702,-58603.13669396289,50549725808.17715,56991781257.53541,106762220782.6277,142.8682672681625,1260.0
22,14418.118769346687,-60800.55326913931,44109462711.58771,65101415620.56221,109210878332.14992,102.25311077090622,1320.0
23,18458.065587085464,-74669.58086787738,45919198388.045876,73998440433.9064,119917638821.95229,76.8010336866887,1380.0
24,18178.341308814746,-85612.5166258405,49439452527.24442,91557671483.01445,140997124010.25885,58.59158212888547,1440.0
25,32487.855792888662,-94638.82770562687,47349303570.095406,112804724239.61984,160154027809.71527,43.91571200362921,1500.0000000000002
26,24766.67188979059,-115147.20466204775,52549305941.494896,131559556431.52559,184108862373.02048,34.38579753946912,1559.9999999999998
27,26736.030071869976,-91484.217235153,57976613442.88264,120720828530.60568,178697441973.4883,30.044988927785955,1620.0
28,33387.31348226685,-194947.21728522083,58947004595.64753,114196676327.38925,173143680923.03674,21.52225485294899,1679.9999999999995
29,33250.93622653567,-142925.31814342915,67077949474.353836,96532204570.45488,163610154044.80872,17.28126874565031,1740.0
30,-29198.538322538636,-169890.063312035,31861728083.09441,114456145731.55603,146317873814.65042,11.382030294663792,1800.0000000000002
31,-14231.032589549224,-206534.95463220353,38553121963.08821,131042875779.66452,169595997742.75275,9.189045523824328,1860.0000000000002
32,-45081.53015553449,-141677.2883754313,27182180108.512466,97056540416.0722,124238720524.58467,6.410037969622799,1920.0000000000002
33,-50518.90165602708,-147182.52907642035,29513394524.575264,92796469805.775,122309864330.35028,6.234148326605179,1979.9999999999998
34,-89371.63293485058,-154744.94198458781,35079661305.44488,107799459108.97011,142879120414.415,5.129244191824878,2039.9999999999998
35,-87108.82294574649,-162823.57073157025,33175197795.321533,123751231912.24057,156926429707.5621,4.9998664950876375,2100.0
36,-117526.072164803,-194604.99931615015,32933460242.09752,182197795090.76096,215131255332.85843,3.961670366658618,2160.0
37,-141912.43601266108,-171766.22242424786,36109741166.25405,152290008943.27637,188399750109.53043,3.8735939733191183,2220.0
38,-127582.21264519948,-182738.7877250016,36212573812.776306,173134414731.5988,209346988544.37512,3.786669815805434,2280.0
39,-184490.87138937484,-145118.97149407637,44088108955.29935,199359497736.6496,243447606691.9489,2.904600866022734,2340.0
40,-175771.39534299987,-178857.0765298975,39983299061.211105,209712895281.2409,249696194342.45203,2.8411999346086034,2400.0
41,-119497.70177579539,-375597.65262559016,15271825556.749643,295265565053.801,310537390610.5507,1.8967661616617972,2460.0
42,-131311.42187087363,-42550.85779012119,17354024618.726925,2304055072.611211,19658079691.338135,1.0201892744479495,2520.0
43,-128553.80898401327,-70881.77268885449,19177766632.560307,6097337707.904278,25275104340.464584,1.0007811298705291,2580.0
44,-115403.01832652837,-124957.25178559497,13317856638.873043,15614314773.808577,28932171412.681618,0.9777777777777777,2640.0
